YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,TAIL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2025,6,29,7,20409,N3085J,12478,10721,1445,32,32,1,2,0,,0,,,,,
2025,6,29,7,20409,N3125J,12478,13204,1445,54,54,1,3,0,,0,0,0,41,0,0
2025,6,29,7,20409,N3242J,12478,13541,1445,2,2,0,0,0,,0,,,,,
2025,6,29,7,19805,N883NN,12478,11298,1454,70,70,1,4,0,,0,5,0,0,0,39
2025,6,29,7,19805,N188US,12478,11057,1455,104,104,1,6,0,,0,0,104,6,0,0
2025,6,29,7,20409,N789JB,12478,14492,1455,19,19,1,1,0,,0,,,,,
2025,6,29,7,19790,N328DN,12478,15304,1459,58,58,1,3,0,,0,0,0,6,0,23
2025,6,29,7,19790,N330DX,12478,11697,1459,9,9,0,0,0,,0,0,0,35,0,0
2025,6,29,7,20452,N208JQ,12478,14122,1459,6,6,0,0,0,,0,,,,,
2025,6,29,7,20452,N414YX,12478,11042,1459,-10,0,0,-1,0,,0,,,,,
2025,6,29,7,19790,N312DN,12478,13204,1510,38,38,1,2,0,,0,0,0,10,0,7
2025,6,29,7,19790,N421DX,12478,12892,1510,8,8,0,0,0,,0,,,,,
2025,6,29,7,20452,N120HQ,12478,10693,1517,24,24,1,1,0,,0,,,,,
2025,6,29,7,20452,N411YX,12478,13931,1519,15,15,1,1,0,,0,,,,,
2025,6,29,7,19790,N178DN,12478,14771,1520,5,5,0,0,0,,0,,,,,
2025,6,29,7,20409,N3251J,12478,14027,1520,270,270,1,12,0,,0,132,0,133,0,0
2025,6,29,7,19805,N109NN,12478,12892,1524,7,7,0,0,0,,0,,,,,
2025,6,29,7,19790,N3752,12478,14027,1526,23,23,1,1,0,,0,,,,,
2025,6,29,7,19790,N916DU,12478,10397,1529,105,105,1,7,0,,0,63,0,0,0,8
2025,6,29,7,19805,N973NN,12478,13303,1530,305,305,1,12,0,,0,0,0,142,0,140
2025,6,29,7,20409,N923JB,12478,12889,1530,111,111,1,7,0,,0,0,0,0,0,100
2025,6,29,7,20409,N3185J,12478,10994,1544,-8,0,0,-1,0,,0,,,,,
2025,6,29,7,20452,N224JQ,12478,11066,1549,-1,0,0,-1,0,,0,,,,,
2025,6,29,7,19790,N501DA,12478,14869,1552,20,20,1,1,0,,0,,,,,
2025,6,29,7,19790,N3754A,12478,11292,1555,-6,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N934JB,12478,14679,1559,3,3,0,0,0,,0,,,,,
2025,6,29,7,20409,N971JT,12478,14843,1559,21,21,1,1,0,,0,,,,,
2025,6,29,7,20452,N123HQ,12478,12339,1559,-3,0,0,-1,0,,0,,,,,
2025,6,29,7,19930,N983AK,12478,14679,1600,42,42,1,2,0,,0,0,0,0,0,26
2025,6,29,7,20409,N2105J,12478,12892,1600,-2,0,0,-1,0,,0,,,,,
2025,6,29,7,20452,N132HQ,12478,10721,1600,56,56,1,3,0,,0,0,0,0,0,50
2025,6,29,7,19790,N345NB,12478,13495,1610,0,0,0,0,0,,0,,,,,
2025,6,29,7,20452,N206JQ,12478,11278,1620,-5,0,0,-1,0,,0,,,,,
2025,6,29,7,19790,N586DT,12478,12889,1629,2,2,0,0,0,,0,,,,,
2025,6,29,7,19805,N107NN,12478,12892,1629,-8,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N3145J,12478,10721,1630,158,158,1,10,0,,0,74,0,0,0,59
2025,6,29,7,20409,N974JT,12478,14747,1630,6,6,0,0,0,,0,,,,,
2025,6,29,7,20409,N3115J,12478,14685,1631,-5,0,0,-1,0,,0,,,,,
2025,6,29,7,19930,N282AK,12478,14771,1639,-4,0,0,-1,0,,0,,,,,
2025,6,29,7,19790,N588DT,12478,14107,1645,1,1,0,0,0,,0,,,,,
2025,6,29,7,19930,N985AK,12478,14747,1645,-7,0,0,-1,0,,0,,,,,
2025,6,29,7,19790,N187DN,12478,12892,1650,2,2,0,0,0,,0,,,,,
2025,6,29,7,19790,N506DA,12478,14747,1659,17,17,1,1,0,,0,,,,,
2025,6,29,7,20409,N3240J,12478,10800,1659,100,100,1,6,0,,0,38,0,0,0,32
2025,6,29,7,20409,N644JB,12478,14635,1659,67,67,1,4,0,,0,0,0,81,0,0
2025,6,29,7,20409,N937JB,12478,12892,1659,-4,0,0,-1,0,,0,,,,,
2025,6,29,7,19790,N186DN,12478,14771,1700,4,4,0,0,0,,0,,,,,
2025,6,29,7,19805,N108NN,12478,14771,1700,-5,0,0,-1,0,,0,,,,,
2025,6,29,7,19805,N9026C,12478,11057,1700,91,91,1,6,0,,0,0,91,5,0,0
2025,6,29,7,19805,N342RX,12478,13303,1705,43,43,1,2,0,,0,0,0,114,0,10
2025,6,29,7,20409,N2142J,12478,14771,1705,0,0,0,0,0,,0,,,,,
2025,6,29,7,20409,N3102J,12478,10792,1715,252,252,1,12,0,,0,200,0,0,0,37
2025,6,29,7,19790,N513DA,12478,14679,1725,-7,0,0,-1,0,,0,,,,,
2025,6,29,7,19805,N947NN,12478,14107,1729,11,11,0,0,0,,0,,,,,
2025,6,29,7,19930,N298AK,12478,14057,1729,38,38,1,2,0,,0,0,0,0,0,36
2025,6,29,7,20409,N529JB,12478,13204,1729,212,212,1,12,0,,0,140,0,0,0,69
2025,6,29,7,20452,N215JQ,12478,10721,1730,3,3,0,0,0,,0,,,,,
2025,6,29,7,19790,N886DN,12478,10397,1742,5,5,0,0,0,,0,,,,,
2025,6,29,7,19805,N111ZM,12478,12892,1749,1,1,0,0,0,,0,,,,,
2025,6,29,7,20409,N554JB,12478,14107,1750,44,44,1,2,0,,0,0,0,3,0,21
2025,6,29,7,19790,N114DU,12478,11298,1759,0,0,0,0,0,,0,,,,,
2025,6,29,7,19790,N318NB,12478,11433,1759,17,17,1,1,0,,0,,,,,
2025,6,29,7,20409,N3162J,12478,12451,1759,108,108,1,7,0,,0,39,0,0,0,56
2025,6,29,7,20452,N113HQ,12478,14492,1800,60,60,1,4,0,,0,0,0,15,0,60
